Product Name,Price,Description,Review
KODAK 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,"₹40,999",N/A,N/A
KODAK 126 cm (50 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,"₹32,999",N/A,N/A
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with Dolby Audio (2022 Model),"₹13,999",N/A,N/A
Mi A series 80 cm (32 inch) HD Ready LED Smart Google TV with 1.5 GB RAM and Dolby Audio (2023 Model),"₹14,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 Pixels1 Year Warranty on Product and 6 Months Warranty on Accessories,"1,803 Ratings & 405 Reviews"
Mi 5A 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Audio (2022 Model),"₹21,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 Pixels1 Year Warranty on Product and 6 Months Warranty on Accessories,"1,803 Ratings & 405 Reviews"
Mi X Series 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision and 30W Dolby Audio ...,"₹28,999",Operating System: AndroidHD Ready 1366 x 768 Pixels1 Year Warranty on Product and 2 Years Warranty on Panel. OEM warranty activation starts from the date of delivery.,"83,960 Ratings & 7,517 Reviews"
Mi X Series 125 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & 30W Dolby Audio (2...,"₹30,999",Operating System: Google TVHD Ready 1366 x 768 Pixels1 Year Warranty on Product and 2 Years Warranty on Panel,"83,960 Ratings & 7,517 Reviews"
KODAK 164 cm (65 inch) QLED Ultra HD (4K) Smart Google TV With Dolby Atmos & Dolby Vision,"₹52,999",Operating System: AndroidFull HD 1920 x 1080 Pixels1 Year Warranty on Product and 2 Years Warranty on Panel. OEM warranty activation starts from the date of delivery.,"83,960 Ratings & 7,517 Reviews"
Mi 5A 108 cm (43 inch) Full HD LED Smart Android TV with Dolby Audio (2022 Model),"₹24,999",Operating System: AndroidUltra HD (4K) 3840 x 2160 Pixels1 Year Warranty on Product and 2 Years Warranty on Panel. OEM warranty activation starts from the date of delivery.,"42,136 Ratings & 3,679 Reviews"
Mi X Series 138 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & 30W Dolby Audio (2...,"₹39,999",Operating System: AndroidUltra HD (4K) 3840 x 2160 Pixels1 Year Warranty on Product and 2 Years Warranty on Panel. OEM warranty activation starts from the date of delivery.,"42,136 Ratings & 3,679 Reviews"
Mi A series 108 cm (43 inch) Full HD LED Smart Google TV with Bezel-less Design and Dolby Audio (2023 ...,"₹24,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 Pixels1 Year Warranty on Product and 6 Months Warranty on Accessories,"1,803 Ratings & 405 Reviews"
Mi X Pro 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Dolby Vision IQ and 30W Dolby Atmos,"₹32,999",Operating System: AndroidFull HD 1920 x 1080 Pixels1 Year Warranty on Product and 2 Years Warranty on Panel. OEM warranty activation starts from the date of delivery.,"83,960 Ratings & 7,517 Reviews"
Mi X Series 125 cm (50 inch) Ultra HD (4K) LED Smart Google TV,"₹34,999",Operating System: AndroidUltra HD (4K) 3840 x 2160 Pixels1 Year Warranty on Product and 2 Years Warranty on Panel. OEM warranty activation starts from the date of delivery.,"42,136 Ratings & 3,679 Reviews"
Mi 5X 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & 30W Dolby Atmos,"₹31,999",Operating System: Google TVFull HD 1920 x 1080 Pixels1 Year Warranty on Product and 2 Years Warranty on Panel,"83,960 Ratings & 7,517 Reviews"
Mi 5A 80 cm (32 inch) HD Ready LED Smart Android TV with 24W Dolby Audio & 1.5GB RAM (2022 Model),"₹16,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 Pixels1 Year Warranty on Product and 2 Years Warranty on Panel,"25,193 Ratings & 2,599 Reviews"
Mi X Series 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV,"₹28,999",Operating System: Google TVUltra HD (4K) 3840 x 2160 Pixels1 Year Warranty on Product and 2 Years Warranty on Panel,6 Ratings & 2 Reviews
